,Colour,Radius (cm),Weight (grams),Fruit (class)
0,Green,4.3,122.0,Pear
1,Green,4.6,152.0,Pear
2,Green,3.1,85.0,Apple
3,Green,3.6,173.0,Pear
4,Green,2.5,65.0,Lemon
5,Green,2.5,70.0,Apple
6,Green,2.7,73.0,Apple
7,Green,4.5,110.0,Pear
8,Green,2.5,86.0,Apple
9,Green,2.4,68.0,Lemon
10,Green,4.2,126.0,Pear
11,Red,3.7,101.0,Apple
12,Red,3.7,100.0,Apple
13,Red,3.4,80.0,Apple
14,Yellow,3.2,79.0,Apple
15,Yellow,3.1,69.0,Lemon
16,Yellow,2.1,64.0,Apple
17,Yellow,2.6,58.0,Lemon
18,Yellow,2.1,40.0,Lemon
19,Yellow,2.3,60.0,Lemon
20,Yellow,4.2,105.0,Pear
22,Yellow,3.2,64.0,Lemon
23,Yellow,2.9,53.0,Lemon
24,Yellow,4.1,135.0,Pear
25,Yellow,5.2,142.0,Pear
27,Yellow,4.4,137.0,Pear
28,Yellow,3.0,98.0,Apple
29,Yellow,2.4,59.2,Lemon
30,Yellow,4.1,56.0,Lemon
31,Yellow,4.1,80.0,Apple
32,Yellow,5.2,141.0,Pear
33,Yellow,4.4,135.0,Pear
34,Green,2.5,83.3,Apple
