Radius (cm),Weight (grams),Fruit (class),Colour_Red,Colour_Yellow
4.3,122.0,Pear,0,0
4.6,152.0,Pear,0,0
3.1,85.0,Apple,0,0
3.6,173.0,Pear,0,0
2.5,65.0,Lemon,0,0
2.5,70.0,Apple,0,0
2.7,73.0,Apple,0,0
4.5,110.0,Pear,0,0
2.5,86.0,Apple,0,0
2.4,68.0,Lemon,0,0
4.2,126.0,Pear,0,0
3.7,101.0,Apple,1,0
3.7,100.0,Apple,1,0
3.4,80.0,Apple,1,0
3.2,79.0,Apple,0,1
3.1,69.0,Lemon,0,1
2.1,64.0,Apple,0,1
2.6,58.0,Lemon,0,1
2.1,40.0,Lemon,0,1
2.3,60.0,Lemon,0,1
4.2,105.0,Pear,0,1
3.2,64.0,Lemon,0,1
2.9,53.0,Lemon,0,1
4.1,135.0,Pear,0,1
5.2,142.0,Pear,0,1
4.4,137.0,Pear,0,1
3.0,98.0,Apple,0,1
2.4,59.2,Lemon,0,1
4.1,56.0,Lemon,0,1
4.1,80.0,Apple,0,1
5.2,141.0,Pear,0,1
4.4,135.0,Pear,0,1
2.5,83.3,Apple,0,0
